Country,State,Year,Sector,Consumer Category,Energy Sale (GWh)
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,1.12
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,70.45
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,143.16
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),0.0
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),12.82
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,34.23
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,6.73
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.0
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.0
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,14930.02
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,4899.11
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,15634.51
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),12462.27
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),2785.42
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,2866.47
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,286.17
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,1595.08
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,932.67
India,Andhra Pradesh,2019,Private Licensees,Agriculture,408.1
India,Andhra Pradesh,2019,Private Licensees,Commercial,30.45
India,Andhra Pradesh,2019,Private Licensees,Domestic,205.84
India,Andhra Pradesh,2019,Private Licensees,Industrial Power (High Voltage),0.0
India,Andhra Pradesh,2019,Private Licensees,Industrial Power (Low and Med Voltage),46.75
India,Andhra Pradesh,2019,Private Licensees,Miscellaneous,2.58
India,Andhra Pradesh,2019,Private Licensees,Public Lighting,10.54
India,Andhra Pradesh,2019,Private Licensees,Traction,0.15
India,Andhra Pradesh,2019,Private Licensees,Works and Sewage Pumping,22.65
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,0.03
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,51.53
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,167.38
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),117.67
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),4.42
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,67.44
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,10.22
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.0
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.0
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,37.0
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,1078.0
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,3652.0
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),1551.2
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),113.8
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,586.0
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,14.0
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.0
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,77.0
India,Assam,2019,Private Licensees,Agriculture,0.0
India,Assam,2019,Private Licensees,Commercial,0.0
India,Assam,2019,Private Licensees,Domestic,0.0
India,Assam,2019,Private Licensees,Industrial Power (High Voltage),0.0
India,Assam,2019,Private Licensees,Industrial Power (Low and Med Voltage),0.0
India,Assam,2019,Private Licensees,Miscellaneous,0.0
India,Assam,2019,Private Licensees,Public Lighting,0.0
India,Assam,2019,Private Licensees,Traction,0.0
India,Assam,2019,Private Licensees,Works and Sewage Pumping,0.0
India,Bihar,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,932.94
India,Bihar,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,2126.53
India,Bihar,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,13497.5
India,Bihar,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),2690.05
