Country,State,Year,Sector Of Energy Sale,Categories Of Consumer For Electrical Energy Sales,"Energy Sale (UOM:Gwh(Gigawatthour)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,1.120
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,70.450
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,143.160
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),12.820
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,34.230
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,6.730
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,14930.020
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,4899.110
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,15634.510
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),12462.270
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),2785.420
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,2866.470
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,286.170
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,1595.080
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,932.670
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Agriculture,408.100
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Commercial,30.450
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Domestic,205.840
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (High Voltage),0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (Low and Med Voltage),46.750
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Miscellaneous,2.580
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Public Lighting,10.540
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Traction,0.150
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Works and Sewage Pumping,22.650
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,0.030
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,51.530
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,167.380
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),117.670
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),4.420
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,67.440
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,10.220
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.000
India,Assam,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,37.000
India,Assam,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,1078.000
India,Assam,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,3652.000
